City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,Month,Year,Monthly_AQI,PM_Ratio,NO2_NOx_Ratio,CO_O3_Ratio,SO2_NO2_Ratio
Ahmedabad,"2017-02-12 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-13 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-14 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-15 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-16 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-17 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-18 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-19 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-20 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-21 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-22 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-23 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-24 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-25 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-26 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-27 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-02-28 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",February,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-01 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-02 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-03 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-04 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-05 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-06 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-07 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-08 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-09 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-10 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-11 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-12 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-13 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-14 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-15 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-16 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-17 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-18 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-19 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-20 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-21 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-22 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-23 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,0,0,0,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-24 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-25 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-26 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-27 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-28 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-29 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-30 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-03-31 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",March,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-01 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-02 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-03 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-04 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-05 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-06 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-07 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-08 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-09 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-10 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-11 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-12 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-13 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-14 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-15 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-16 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-17 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-18 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-19 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-20 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-21 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-22 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-23 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-24 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-25 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-26 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-27 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-28 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-29 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-04-30 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",April,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-01 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-02 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-03 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-04 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-05 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-06 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-07 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-08 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-09 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-10 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-11 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-12 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-13 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-14 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-15 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-16 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-17 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-18 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-19 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-20 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-21 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-22 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-23 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-24 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-25 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-26 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-27 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-28 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-29 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-30 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-05-31 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",May,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-01 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-02 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-03 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-04 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-05 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-06 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-07 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-08 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-09 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-10 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-11 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-12 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-13 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
Ahmedabad,"2017-06-14 00:00:00",58.37,107.96,16.28,47.19,39.51,14.5,16.244999999999997,46.78,39.51,3.87,23.95,1.8,384.5,"Very Poor",June,2017,384.5,0.5407,1.1944,0.4112,0.9913
